Ananas;Ananasse;Stück;1
Apfel;Äpfel;Stück;1
Apfelsaft;Apfelsäft;Milliliter;500
Backpulver;Backpulver;Packung;1
Banane;Bananen;Stück;1
Bier;Bier;Milliliter;500
Birne;Birnen;Stück;1
Bratwurst;Bratwürste;Stück;1
Brot;Brote;Stück;1
Brötchen;Brötchen;Stück;1
Brownie;Brownies;Stück;1
Butter;Butter;Gramm;250
Chips;Chips;Packung;1
Cola;Cola;Milliliter;500
Cornflakes;Cornflakes;Packung;1
Croissant;Croissants;Stück;1
Donut;Donuts;Stück;1
Duschgel;Duschgele;Packung;1
Ei;Eier;Packung;1
Eiscreme;Eiscremes;Packung;1
Eistee;Eistees;Milliliter;500
Erdbeer;Erdbeeren;Stück;1
Erdnuss;Erdnüsse;Packung;1
Fanta;Fanta;Milliliter;500
Gin;Gin;Milliliter;750
Gurke;Gurken;Stück;1
Hackfleisch;Hackfleisch:Gramm;300
Haselnuss;Haselnüsse;Packung;1
Himbeer;Himbeeren;Packung;1
Ingwer;Ingwer;Stück;1
Karotte;Karotten;Stück;1
Kartoffel;Kartoffeln;Packung;1
Käse;Käse;Stück;1
Ketchup;Ketchups;Packung;1
Kiwi;Kiwis;Stück;1
Leberkäse;Leberkäse;Stück;1
Leberwurst;Leberwurst;Packung;1
Mango;Mangos;Stück;1
Marmelade;Marmeladen;Packung;1
Mehl;Mehl;Packung;1
Mettwurst;Mettwurst;Gramm;200
Milch;Milch;Packung;1
Nudeln;Nudeln;Packung;1
Nutella;Nutella;Packung;1
Öl;Öl;Packung;1
Orange;Orangen;Stück;1
Orangensaft;Orangensaft;Milliliter;500
Paprika;Paprikas;Stück;1
Pfeffer;Pfeffer;Packung;1
Plaume;Pflaumen;Stück;1
Rindfleisch;Rindfleisch;Gramm;300
Salami;Salamis;Packung;1
Salat;Salate;Stück;1
Salz;Salz;Packung;1
Schampoo;Schampoos;Packung;1
Schinken;Schinken;Packung;1
Schokocroissant;Schokocroissants;Stück;1
Schokolade;Schokoladen;Packung;1
Schweinefleisch;Schweinefleisch;Gramm;300
Seife;Seifen;Packung;1
Senf;Senf;Packung;1
Smoothie;Smoothies;Stück;1
Tee;Tees;Packung;1
Tomate;Tomaten;Stück;1
Traubensaft;Traubensaft;Milliliter;500
Vodka;Vodka;Milliliter;750
Walnuss;Walnüsse;Packung;1
Wasser;Wasser;Milliliter;500
Wassereis;Wassereis;Packung;1
Wein;Weine;Liter;1
Whisky;Whiskys;Milliliter;750
Wiener;Winer;Packung;1
Zahnbürste;Zahnbürsten;Stück;1
Zahnpasta;Zahnpastas;Packung;1
Zucker;Zucker;Packung;1
Zwiebel;Zwiebeln;Stück;1
